model,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
logistic_regression_balanced,0.5683646112600537,0.5351226702821378,0.5322790978253163,0.5327230277435243,0.5452401372212693,0.5071301899310269,0.5046292839143461,0.5055454362490495
random_forest_balanced,0.5312140942167752,0.4925290586823608,0.49295081395921736,0.49178870491959276,0.505360205831904,0.4686612539585033,0.47012027529067263,0.46876992751191754
extra_trees_balanced,0.5285331290693221,0.47885838617127346,0.4810385415427432,0.4797859589180103,0.5019296740994854,0.45845692877140826,0.4625892035417092,0.46006320109783033
