model,cv_accuracy,cv_precision_macro,cv_recall_macro,cv_f1_macro,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
logistic_regression,0.5323039029935582,0.3496368220921795,0.4149100352958996,0.36077593772936534,0.558023745691306,0.37537262728022996,0.43916858034505096,0.3881650650690898,0.5379502572898799,0.3571906877664663,0.42554148756773386,0.372978516202803
random_forest,0.5287040545661236,0.3477225477213283,0.4093220883136776,0.3541207043852306,0.5584067407123707,0.38408871682569473,0.4358476123182005,0.38505077652994196,0.5328044596912521,0.35554314856514185,0.4153527972254796,0.36115031765606914
svm,0.5287672098016926,0.3548045431380933,0.4050384167744388,0.3488988136941404,0.5522788203753352,0.38485614554836794,0.42699758582111524,0.37539039729235224,0.5334476843910806,0.3614920523807504,0.4136030272221567,0.35883964834811316
knn,0.44994947581154476,0.4015614779966615,0.40542706607457896,0.4008040138740702,0.4641899655304481,0.410681768527471,0.4150275725905978,0.4117672803034386,0.4609777015437393,0.41883421859652237,0.42166520214060954,0.41916461591384185
