Feature,Importance,Std
away_team,0.097088682096498,0.006396914143067801
home_team,0.09663297752595223,0.005868073337046104
home_recent_form_10,0.011808732534931457,0.003642051735730271
away_recent_form_10,0.009708015234996157,0.004649597697025188
away_recent_form_5,0.0040056088250104895,0.0035603682255921053
away_win_rate_10,0.003903286772434911,0.0018752378313344814
home_avg_goals_conceded_5,0.003271174562636245,0.002722885129645485
home_avg_goal_diff_5,0.003226619775308054,0.002091732398650541
home_team_strength_delta,0.0009597357743816315,0.0011086788248873558
home_days_since_last_match,0.0004269051057624984,0.00036232658980852814
away_days_since_last_match,0.0003851507305977386,0.0003139137078838985
goal_difference,0.0003640837088199622,0.0028846604228949103
elo_rating_diff,0.00021166672690040578,0.0010237907507941336
home_advantage,0.0,0.0
rank_diff,-0.00046614515771848384,0.0005304465529876456
home_avg_goals_scored_5,-0.0006374864291224969,0.0014649817211517015
home_win_rate_5,-0.000740395977343622,0.0015041569803029581
home_team_win_rate,-0.000740395977343622,0.0015041569803029581
home_win_rate_10,-0.000939942673970523,0.0016777275300251908
away_avg_goals_conceded_5,-0.00104095927820807,0.0012067789144182396
away_avg_goals_scored_5,-0.0011344521303008337,0.0011796751966731982
away_team_win_rate,-0.001752292731246885,0.001111655726952249
away_win_rate_5,-0.001752292731246885,0.001111655726952249
home_elo_rating,-0.0021827229050134732,0.0012822444694567667
away_avg_goal_diff_5,-0.002273118520024314,0.0011426229930702905
home_recent_form_5,-0.0027032342907190978,0.0022712276187242105
away_elo_rating,-0.0031453293449791976,0.0018284345195675182
